"origen_auditoría","ámbito","grupo","coincidencias_aproximadas","unidades_aproximadas","base_del_recuento","impacto_mariadb","impacto_postgresql","impacto_sql_server","estrategia","prioridad","rutas_representativas","observaciones"
"DataModules","Consultas de lectura","LIMIT","221","65","Coincidencias rg; puede incluir comentarios y constantes","Compatible; resultado no determinista si falta ORDER BY total","Compatible; mismo riesgo semántico de orden y desempate","No compatible; requiere TOP u OFFSET/FETCH","Catálogo por motor o IDialectoSql para paginación; exigir ORDER BY total","Alta","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","No sustituir LIMIT 1 mecánicamente sin definir qué fila debe ganar"
"DataModules","Funciones de nulos","IFNULL","506","46","Coincidencias rg; puede incluir comentarios y constantes","Nativo","No compatible; COALESCE cuando el contrato sea equivalente","No compatible; COALESCE o ISNULL con revisión de tipos","Usar COALESCE común probado o variante de catálogo/vista física","Alta","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","Revisar precedencia y tipo resultante, especialmente en SQL Server"
"DataModules","Agregación de texto","GROUP_CONCAT","27","19","Coincidencias rg","Nativo","No compatible; usar string_agg","No compatible; usar STRING_AGG según versión","Vista vi_* o catálogo por motor con orden y separador explícitos","Alta","src/DataModules; src/Caja/DataModules","El orden dentro de la agregación forma parte del contrato"
"DataModules","Upsert","ON DUPLICATE KEY","35","25","Coincidencias rg","Nativo","No compatible; usar ON CONFLICT con clave objetivo","No compatible; usar protocolo seguro de upsert u operación equivalente","Adaptador de upsert por motor con pruebas concurrentes","Crítica","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","No traducir automáticamente a MERGE sin demostrar semántica concurrente"
"DataModules","Inserción tolerante a conflicto","INSERT IGNORE","40","12","Coincidencias rg","Nativo; puede ocultar más errores que duplicados","No compatible; ON CONFLICT DO NOTHING si el contrato es solo duplicado","No compatible; control explícito del conflicto","Adaptador de upsert/inserción por motor y contrato de errores","Crítica","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","Definir qué errores se ignoran; no conservar el alcance amplio de IGNORE por accidente"
"DataModules","Identidad","LAST_INSERT_ID","9","8","Coincidencias rg","Nativo por sesión","No compatible; usar RETURNING o secuencia explícita","No compatible; usar OUTPUT INSERTED o SCOPE_IDENTITY según contrato","Adaptador de identidad por motor dentro de la misma conexión/transacción","Crítica","src/**/DataModules/*.pas","Probar concurrencia, triggers y pools de conexiones"
"DataModules","Identificadores","Backticks","7462","26","Coincidencias brutas rg; incluye DFM, comentarios y constantes; el SQL real se estima en cientos","Nativo, pero debe escaparse un backtick interno","No compatible","No compatible","IDialectoSql.DelimitarIdentificador; preferir parámetros y nombres validados","Crítica","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","El número bruto no equivale a sentencias distintas"
"DataModules","Conversiones numéricas","CAST AS SIGNED/UNSIGNED","59","19","Coincidencias rg","Nativo","No compatible con esos tipos","No compatible con esos tipos","Catálogo o vista física con tipo lógico y rango acordados","Alta","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","Definir overflow, signo y truncamiento antes de traducir"
"DataModules","Fecha y hora actual","NOW()","273","53","Coincidencias rg","Nativo","Compatible, con revisión de zona y tipo","No compatible como función","IDialectoSql o parámetro de instante; contrato explícito de zona horaria","Alta","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","Evitar mezclar hora del servidor y hora de aplicación sin decisión explícita"
"DataModules","Fecha actual","CURDATE()","53","13","Coincidencias rg","Nativo","No compatible; CURRENT_DATE","No compatible; CAST/CONVERT de la fecha del servidor","IDialectoSql o parámetro de fecha lógica","Alta","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","Probar cambio de día y zona horaria"
"DataModules","Aritmética temporal","DATE_ADD/DATE_SUB","8","2","Coincidencias rg","Nativo","No compatible; intervalos PostgreSQL","No compatible; DATEADD","Catálogo por motor o IDialectoSql para una operación acotada","Alta","src/**/DataModules/*.pas","Acordar unidad, redondeo y fin de mes"
"DataModules","Formato temporal","DATE_FORMAT","6","3","Coincidencias rg","Nativo","No compatible; to_char","No compatible; FORMAT/CONVERT con distinta semántica y coste","Evitar formatear en SQL o usar vista/catálogo por motor","Media","src/**/DataModules/*.pas","Preferir devolver valor temporal tipado y formatear en presentación"
"DataModules","Fechas centinela","Fecha cero","31","1","Coincidencias concentradas en una unidad","Aceptada según SQL_MODE; valor no temporal válido","No compatible","No compatible","Migrar a NULL o estado explícito y limpiar datos antes del corte","Crítica","src/DataModules/UniDataComprasSesionesMaterializacionRepositorio.pas","Necesita conciliación de datos, no solo cambio de sintaxis"
