clasificación,unidad/recurso,punto directo,tipo de acoplamiento,provider/motor actual,origen de configuración,estado,estrategia,prueba necesaria
"infraestructura","src/DataModules/UniDataConexionFabrica.pas","TFabricaConexionesUniDAC","Punto único de creación de conexiones auxiliares y configuración de toda TUniConnection: provider, SSL, pool, sesión y errores","MariaDB/MySQL y PostgreSQL","Perfil agnóstico y referencia al Administrador de credenciales de Windows","Implementado en este fascículo; preparado para incorporar otros providers como SQL Server desde infraestructura","Mantener la selección de motor en la raíz de composición y añadir un adaptador/capacidades por cada motor futuro","Pruebas unitarias de configuración y pruebas reales desechables por cada provider"
"infraestructura","src/Lib/inLibConexionPerfilIni.pas; src/Lib/inLibCredencialesConexionWindows.pas","CargarConfiguracionConexionIni / GuardarConfiguracionConexionIni","Perfil no secreto en INI y credencial genérica en el Administrador de credenciales; referencia separada por instalación y migración de PasswordEn","Todos","INI de usuario y almacén seguro de Windows","Aislamiento implementado; rollback atómico entre los dos almacenes todavía pendiente","Escribir el INI mediante temporal/reemplazo y restaurar ambos almacenes ante fallo; verificar y retirar referencias legadas solo tras commit","Migración legada, dos instalaciones con igual ProfileId, fallo de escritura intermedio y ausencia de secretos en INI/log"
"runtime principal","src/DataModules/UniDataComposicionAplicacion.pas","TComposicionAplicacion.Create / CrearInfraestructura","Recibe la fábrica en la raíz, crea TdmConn y conecta la conexión fabricada","Seleccionado por el perfil activo","Fábrica ya resuelta por fzam.dpr","Aislado; no selecciona ni configura providers","Conservar este punto como raíz de composición; no introducir comprobaciones de motor en UI o casos de uso","Arranque, cierre, fallo de perfil, pool y reconexión con MariaDB y PostgreSQL"
"runtime principal","src/DataModules/UniDataConn.dfm; src/DataModules/UniDataConn.pas","AsignarFabrica / conUni","El DFM conserva una TUniConnection vacía para mantener referencias VCL; la fábrica inyectada configura provider, perfil, sesión y errores","Seleccionado por la fábrica","Perfil y credencial encapsulados por la fábrica","Aislado en este fascículo; sin provider, servidor, usuario ni credencial serializados en DFM","Mantener TdmConn como adaptador de diseño/eventos y la configuración exclusivamente en la fábrica; no serializar opciones de motor","Arranque VCL, conexión/reconexión, monitor SQL y ausencia de secretos serializados"
"runtime principal","src/Lib/inLibConexionesUniDAC.pas","TServicioConexionesUniDAC.CrearConexion","Solicita clones a IFabricaConexionesUniDAC y copia únicamente eventos de infraestructura","Seleccionado por la fábrica","Fábrica inyectada desde composición","Resuelto en este fascículo; eliminados helpers y ConnectString MySQL","Conservar el servicio detrás del contrato; ampliar la fábrica/adaptador para motores futuros","Crear, conectar y liberar conexiones secundarias con cada provider"
"runtime principal","src/DataModules/UniDataLogonRepositorio.pas","TRepositorioLogonUniDAC.Create","La conexión de preautenticación se solicita a la fábrica; el repositorio ya no crea provider","Seleccionado por la fábrica","Fábrica inyectada desde el formulario creado en la raíz","Conexión aislada; el SQL de autenticación y catálogo aún tiene trabajo de dialecto inventariado","Extraer las consultas no portables al catálogo/adaptador del motor en el siguiente fascículo","Login correcto/incorrecto y descubrimiento de destino contra ambos motores"
"runtime principal","src/Core/inMtoLogon.pas","PrepararLogon / ConectarPerfilTemporal","La UI construye un perfil neutral y pide conexión/prueba a la fábrica; no conoce providers ni almacena la clave BBDD en INI","Seleccionado por el perfil","Campos de UI, perfil INI y Administrador de credenciales de Windows","Resuelto para el contrato de conexión; los repositorios llamados siguen sujetos al inventario SQL","Mantener Motor/BaseDatos/Esquema en el perfil y desplazar cualquier diferencia restante a adaptadores","Mismos resultados observables para credenciales, host, puerto, base, esquema y SSL"
"runtime principal","src/DataModules/UniDataInventarios.pas","cláusula uses","Import residual de MySQLUniProvider retirado","Ninguno","No aplica","Resuelto en este fascículo","Prohibir providers concretos fuera de infraestructura y utilidades explícitamente segregadas","Compilar y abrir inventarios con el perfil MariaDB actual"
"runtime principal","src/Caja/Forms/inMtoCajaMenu.pas","cláusula uses","Import residual de MySQLUniProvider retirado de UI","Ninguno","No aplica","Resuelto en este fascículo","Mantener formularios ajenos a providers concretos","Compilar y abrir el menú de caja"
"backup","src/Core/inMtoComandoCopiaSeguridad.pas","IntentarPrepararConexion / EjecutarConConexion","La conexión CLI se crea mediante la fábrica y la ruta usa una huella SHA-256 no reversible; el flujo heredado aún reutiliza TUniConnection.Password como contraseña del artefacto","Seleccionado por la fábrica; motor interno de backup todavía MySQL","Perfil seguro para BBDD; contraseña del artefacto aún acoplada a la clave BBDD","Creación y fuga reversible por nombre resueltas; desacoplamiento de la contraseña pendiente de prioridad alta para no romper tareas programadas existentes","Crear una credencial de copias independiente y migrar explícitamente la sintaxis/configuración del comando; nunca derivarla de la clave BBDD","Compatibilidad de tareas programadas, rotación independiente de ambas claves, ruta sin secreto y logs ocultos"
